fidelity,noise,metric,n,mean,sd,ci95_low,ci95_high
0.5,0.5,ambiguous_accuracy,15,0.016680000000000007,0.030845032014896665,0.0010702600798945684,0.03228973992010545
0.5,0.5,directed_contrast,15,1.4990862096172004,3.53030184125673,-0.2874930215170983,3.285665440751499
0.5,0.5,drift_delta,15,0.02205793647954775,0.14556849291048662,-0.05160988509369632,0.09572575805279182
0.5,0.5,path_contrast,15,-0.14700209855847612,0.763160139851231,-0.5332144161438732,0.2392102190269209
0.5,0.5,spearman_bifurc,15,-0.01862925320663722,0.2225330135358528,-0.13124649617964967,0.09398798976637524
0.5,0.5,spearman_drift,15,0.01776168926119766,0.19409271894166244,-0.0804627788347426,0.11598615735713791
0.5,0.5,test_accuracy,15,-0.01898699056588721,0.038436385031742605,-0.03843848517042428,0.0004645040386498621
0.625,0.375,ambiguous_accuracy,15,0.023159999999999997,0.024735884863897658,0.010641915102806909,0.03567808489719308
0.625,0.375,directed_contrast,15,-0.4262588838764797,2.232985442772091,-1.5563054336813207,0.7037876659283612
0.625,0.375,drift_delta,15,0.03278323099337594,0.07950616526658824,-0.007452440062403337,0.07301890204915522
0.625,0.375,path_contrast,15,0.1341643702874216,0.5276062457437466,-0.1328412295869967,0.40116997016183986
0.625,0.375,spearman_bifurc,15,-0.013034777721758003,0.2001932396265756,-0.11434653524643762,0.08827697980292162
0.625,0.375,spearman_drift,15,0.0014483512826010088,0.20073513408837093,-0.10013764267693417,0.1030343452421362
0.625,0.375,test_accuracy,15,-0.026984636390160525,0.028635102802593702,-0.04147599782295454,-0.012493274957366515
0.75,0.25,ambiguous_accuracy,15,0.021426666666666667,0.029234311217830176,0.006632063936691879,0.036221269396641456
0.75,0.25,directed_contrast,15,0.4168041095000606,2.107045014047376,-0.6495077897176145,1.4831160087177355
0.75,0.25,drift_delta,15,-0.0011410039280467614,0.08108611739606783,-0.042176241079769215,0.0398942332236757
0.75,0.25,path_contrast,15,0.1268389922238224,0.4408355548955382,-0.09625457941297688,0.34993256386062166
0.75,0.25,spearman_bifurc,15,-0.0036986162044584455,0.11244881517631682,-0.06060556829899954,0.05320833589008265
0.75,0.25,spearman_drift,15,-0.011937421049772875,0.09695377794646357,-0.06100280238200947,0.037127960282463714
0.75,0.25,test_accuracy,15,-0.013633209700436933,0.017714652986096216,-0.02259806101763883,-0.004668358383235033
